TIME STAMP,GPU UTIL,GPU SCLK,GPU BRD PWR,GPU TEMP,GPU HOTSPOT TEMP,GPU FAN,GPU VOLTAGE,GPU MEM UTIL,GPU MCLK,GPU MEM TEMP,CPU UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER,CPU EDC,CPU TDC,SYSTEM MEM UTIL
N/A,92.88,3069.87,244.74,61.58,77.29,1071.12,1088.98,8226.13,2505.00,80.45,45.99,4.14,1.11,65.21,36.36,52.24,32.99,13.47
2026-03-22 11:45:26.428,5.000,932.000,49,54.000,55.000,0.000,548.000,1479.000,2505.000,60.000,10.25,1.222,1.139,45.065,9.812,24.000,8.522,7.50
2026-03-22 11:45:27.443,6.000,1054.000,50,53.000,55.000,0.000,675.000,1479.000,2505.000,60.000,5.27,2.720,1.136,50.303,15.393,38.250,13.574,7.50
2026-03-22 11:45:28.468,7.000,976.000,50,54.000,55.000,0.000,678.000,1479.000,2505.000,60.000,8.01,1.776,1.137,46.105,11.236,26.500,9.854,7.42
2026-03-22 11:45:29.459,6.000,1055.000,50,53.000,55.000,0.000,675.000,1464.000,2505.000,60.000,9.44,3.115,1.121,51.021,12.964,50.000,11.480,7.41
2026-03-22 11:45:30.458,6.000,1015.000,50,53.000,55.000,0.000,677.000,1464.000,2505.000,60.000,10.01,4.209,1.127,54.553,12.151,33.250,10.786,7.41
2026-03-22 11:45:31.458,6.000,1015.000,50,53.000,55.000,0.000,672.000,1464.000,2505.000,60.000,11.48,3.968,1.120,53.360,13.918,29.250,12.400,7.40
2026-03-22 11:45:32.497,8.000,1130.000,55,54.000,55.000,0.000,575.000,1476.000,2505.000,60.000,13.01,4.077,1.120,58.873,14.362,27.750,12.799,7.57
2026-03-22 11:45:33.475,7.000,1517.000,53,54.000,55.000,0.000,739.000,1441.000,2505.000,60.000,13.33,3.607,1.119,54.587,14.635,39.000,13.092,7.56
2026-03-22 11:45:34.507,17.000,1610.000,53,54.000,55.000,0.000,728.000,1505.000,2505.000,60.000,12.47,3.861,1.120,54.658,16.238,32.750,14.484,7.59
2026-03-22 11:45:35.505,5.000,1639.000,52,54.000,55.000,0.000,724.000,1505.000,2505.000,60.000,9.96,4.040,1.124,53.627,15.564,30.250,13.829,7.56
2026-03-22 11:45:36.505,5.000,1640.000,52,54.000,55.000,0.000,724.000,1505.000,2505.000,60.000,9.84,3.894,1.118,53.151,13.599,31.250,12.168,7.57
2026-03-22 11:45:37.506,5.000,1640.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,9.49,3.894,1.118,53.151,13.599,31.250,12.168,7.60
2026-03-22 11:45:38.505,5.000,1641.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,11.65,3.977,1.117,52.048,13.842,21.750,12.244,7.49
2026-03-22 11:45:39.506,5.000,1640.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,10.19,4.797,1.125,50.911,15.061,26.250,13.082,7.48
2026-03-22 11:45:40.521,5.000,1639.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,11.03,4.773,1.130,56.587,13.612,27.000,12.002,7.48
2026-03-22 11:45:41.537,5.000,1639.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,11.03,4.773,1.130,56.587,13.612,27.000,12.002,7.48
2026-03-22 11:45:42.537,5.000,1640.000,52,54.000,55.000,0.000,724.000,1506.000,2505.000,60.000,10.12,3.839,1.122,56.411,15.277,26.250,13.590,7.51
2026-03-22 11:45:43.537,8.000,1640.000,53,54.000,55.000,0.000,723.000,1624.000,2505.000,60.000,13.66,4.835,1.130,58.640,13.144,26.000,11.586,7.62
2026-03-22 11:45:44.537,7.000,1641.000,52,53.000,55.000,0.000,724.000,1624.000,2505.000,60.000,11.19,4.431,1.117,57.217,18.544,39.250,16.715,7.62
2026-03-22 11:45:45.538,7.000,1640.000,52,53.000,55.000,0.000,724.000,1636.000,2505.000,60.000,13.32,4.794,1.125,56.886,13.233,29.500,11.728,7.80
2026-03-22 11:45:46.537,8.000,1640.000,53,53.000,55.000,0.000,724.000,1647.000,2505.000,60.000,18.31,3.753,1.117,58.028,15.616,32.500,13.932,8.46
2026-03-22 11:45:47.553,16.000,1613.000,53,53.000,55.000,0.000,720.000,1957.000,2505.000,60.000,21.52,4.037,1.117,54.716,21.726,49.250,19.465,9.53
2026-03-22 11:45:48.553,20.000,1639.000,53,54.000,55.000,0.000,723.000,2258.000,2505.000,60.000,21.45,4.169,1.099,61.472,22.345,48.250,20.291,9.89
2026-03-22 11:45:49.552,23.000,2259.000,64,54.000,56.000,0.000,841.000,3602.000,2505.000,60.000,28.38,3.832,1.105,58.275,22.669,47.750,20.459,10.79
2026-03-22 11:45:50.553,8.000,1630.000,52,54.000,55.000,0.000,724.000,3992.000,2505.000,60.000,22.16,4.158,1.113,58.065,23.878,43.500,21.519,11.08
2026-03-22 11:45:51.555,14.000,2631.000,65,54.000,56.000,0.000,913.000,4533.000,2505.000,60.000,57.08,4.543,1.123,61.077,16.765,52.250,14.972,11.70
2026-03-22 11:45:52.569,6.000,2717.000,62,54.000,55.000,0.000,927.000,4631.000,2505.000,60.000,25.48,4.585,1.105,66.027,41.248,53.000,37.539,12.12
2026-03-22 11:45:53.570,60.000,2820.000,83,55.000,57.000,0.000,964.000,5324.000,2505.000,60.000,42.84,4.010,1.109,58.029,21.337,46.750,19.263,12.35
2026-03-22 11:45:54.584,93.000,3031.000,208,55.000,66.000,0.000,1047.000,6027.000,2505.000,62.000,49.66,4.275,1.114,61.870,31.285,52.750,28.282,12.45
2026-03-22 11:45:55.585,100.000,3011.000,316,58.000,79.000,0.000,1052.000,5992.000,2505.000,68.000,37.68,4.366,1.113,63.970,36.235,53.500,32.756,12.54
2026-03-22 11:45:56.601,100.000,3017.000,317,58.000,80.000,356.000,1052.000,5993.000,2505.000,70.000,37.92,4.366,1.113,63.970,36.235,53.500,32.756,12.30
2026-03-22 11:45:57.618,99.000,3015.000,310,59.000,80.000,537.000,1050.000,5994.000,2505.000,70.000,39.55,4.366,1.113,63.970,36.235,53.500,32.756,12.32
2026-03-22 11:45:58.615,100.000,3021.000,313,59.000,81.000,661.000,1039.000,6003.000,2505.000,72.000,34.57,4.392,1.117,64.319,39.439,53.250,34.167,12.33
2026-03-22 11:45:59.617,100.000,3021.000,313,59.000,81.000,661.000,1039.000,6003.000,2505.000,72.000,34.57,4.392,1.117,64.319,39.439,53.250,34.167,12.33
2026-03-22 11:46:00.617,100.000,2995.000,320,60.000,82.000,721.000,1044.000,6003.000,2505.000,74.000,31.19,3.777,1.136,55.062,32.309,52.250,27.827,12.32
2026-03-22 11:46:01.618,91.000,2914.000,273,60.000,78.000,721.000,1022.000,6006.000,2505.000,73.000,33.15,3.746,1.136,54.728,31.721,49.000,27.690,12.41
2026-03-22 11:46:02.617,100.000,3006.000,317,60.000,83.000,781.000,1048.000,6006.000,2505.000,74.000,30.69,3.930,1.139,54.438,27.862,44.750,24.489,12.41
2026-03-22 11:46:03.618,100.000,2970.000,308,61.000,83.000,781.000,1039.000,6008.000,2505.000,74.000,30.07,3.512,1.142,55.029,29.416,53.250,25.704,12.41
2026-03-22 11:46:04.614,100.000,2973.000,315,61.000,84.000,841.000,1033.000,6008.000,2505.000,76.000,30.35,3.848,1.143,57.282,30.425,52.250,26.625,12.41
2026-03-22 11:46:05.632,55.000,2808.000,152,60.000,68.000,841.000,965.000,6143.000,2505.000,73.000,28.01,3.374,1.141,54.301,30.234,53.000,26.496,12.45
2026-03-22 11:46:06.665,98.000,3016.000,307,61.000,83.000,901.000,1050.000,6378.000,2505.000,76.000,35.56,3.563,1.127,53.668,23.880,53.250,21.050,12.49
2026-03-22 11:46:07.664,98.000,3026.000,298,61.000,83.000,961.000,1053.000,6475.000,2505.000,78.000,35.05,3.738,1.121,55.337,30.121,51.500,26.869,12.55
2026-03-22 11:46:08.680,100.000,3022.000,318,61.000,84.000,981.000,1053.000,6554.000,2505.000,78.000,31.50,3.745,1.127,56.228,29.848,50.500,26.537,12.43
2026-03-22 11:46:09.677,100.000,3012.000,321,61.000,85.000,1022.000,1049.000,6568.000,2505.000,78.000,29.88,3.728,1.132,55.399,28.696,47.500,25.438,12.45
2026-03-22 11:46:10.681,100.000,2970.000,316,62.000,84.000,1082.000,1035.000,6573.000,2505.000,79.000,28.38,3.522,1.129,54.018,28.815,49.500,25.517,12.44
2026-03-22 11:46:11.677,100.000,2976.000,317,62.000,85.000,1142.000,1037.000,6573.000,2505.000,80.000,28.96,3.471,1.136,54.200,29.313,53.000,25.798,12.44
2026-03-22 11:46:12.680,99.000,2999.000,307,62.000,84.000,1201.000,1043.000,6585.000,2505.000,80.000,30.77,3.444,1.138,54.345,28.747,50.250,25.271,12.43
2026-03-22 11:46:13.680,100.000,2995.000,317,62.000,84.000,1262.000,1042.000,6624.000,2505.000,80.000,36.73,3.605,1.138,56.061,30.670,52.250,26.977,12.44
2026-03-22 11:46:14.677,100.000,2977.000,317,62.000,84.000,1321.000,1036.000,6636.000,2505.000,80.000,37.49,3.958,1.136,58.774,32.833,52.250,28.974,12.41
2026-03-22 11:46:15.681,98.000,2974.000,309,62.000,84.000,1386.000,1034.000,6678.000,2505.000,81.000,36.90,3.970,1.138,59.511,34.051,54.250,29.977,12.53
2026-03-22 11:46:16.679,100.000,2837.000,317,62.000,84.000,1407.000,991.000,6946.000,2505.000,82.000,36.84,3.830,1.132,57.205,31.415,53.500,27.775,12.64
2026-03-22 11:46:17.683,100.000,2837.000,317,62.000,84.000,1407.000,991.000,6946.000,2505.000,82.000,36.84,3.830,1.132,57.205,31.415,53.500,27.775,12.64
2026-03-22 11:46:18.680,100.000,2837.000,317,62.000,84.000,1510.000,991.000,6946.000,2505.000,83.000,33.29,3.830,1.132,57.205,31.415,53.500,27.775,12.64
2026-03-22 11:46:19.680,100.000,2834.000,317,62.000,84.000,1516.000,990.000,6946.000,2505.000,84.000,32.10,3.830,1.132,57.205,31.415,53.500,27.775,12.64
2026-03-22 11:46:20.680,100.000,2810.000,319,62.000,84.000,1562.000,972.000,6946.000,2505.000,84.000,33.39,3.994,1.148,57.611,33.412,50.750,28.108,12.64
2026-03-22 11:46:21.680,100.000,2833.000,318,62.000,84.000,1622.000,989.000,6946.000,2505.000,84.000,33.85,3.828,1.142,56.975,32.098,49.000,27.827,12.64
2026-03-22 11:46:22.680,100.000,2827.000,316,61.000,84.000,1682.000,987.000,6946.000,2505.000,84.000,33.16,3.769,1.137,56.052,31.222,52.250,27.695,12.63
2026-03-22 11:46:23.693,100.000,2943.000,315,61.000,84.000,1682.000,1026.000,6758.000,2505.000,84.000,33.80,3.911,1.136,57.354,31.123,47.000,27.593,12.62
2026-03-22 11:46:24.696,100.000,3029.000,316,61.000,83.000,1742.000,1054.000,6782.000,2505.000,83.000,35.44,4.185,1.133,59.473,31.738,50.000,28.003,12.60
2026-03-22 11:46:25.726,99.000,2978.000,315,61.000,84.000,1742.000,1037.000,6782.000,2505.000,84.000,31.93,3.982,1.123,59.667,30.751,51.250,27.441,12.60
2026-03-22 11:46:26.743,100.000,2973.000,316,61.000,84.000,1801.000,1035.000,6783.000,2505.000,84.000,29.73,3.905,1.142,57.713,30.048,50.000,26.292,12.61
2026-03-22 11:46:27.744,100.000,2971.000,317,61.000,83.000,1802.000,1037.000,6782.000,2505.000,84.000,32.25,3.569,1.138,56.148,29.636,48.500,26.003,12.61
2026-03-22 11:46:28.743,100.000,2987.000,319,61.000,84.000,1802.000,1041.000,6791.000,2505.000,84.000,29.98,3.911,1.137,57.638,29.733,50.000,26.099,12.61
2026-03-22 11:46:29.741,100.000,2988.000,320,60.000,83.000,1801.000,1041.000,6787.000,2505.000,84.000,30.94,3.509,1.130,55.337,27.685,50.000,24.568,12.61
2026-03-22 11:46:30.759,100.000,2978.000,317,60.000,83.000,1802.000,1038.000,6782.000,2505.000,84.000,31.32,3.811,1.132,56.719,28.800,47.750,25.471,12.61
2026-03-22 11:46:31.758,100.000,2973.000,317,60.000,83.000,1802.000,1037.000,6782.000,2505.000,84.000,29.50,3.733,1.136,57.564,30.285,49.750,26.657,12.61
